iso3,date,obesity_prevalence,diabetes_treatment,polluting_cooking_fuels,hypertension_treatment,mean_years_schooling,expected_years_schooling,alcohol_consumption,life_expectancy
BDI,2004,2.0026229,20.6642315,99.45,14.25,2.1322,6.0124,15.374754681,52.593599999999995
BDI,2005,2.1194119,20.822058499999997,99.5,14.8,2.1841999999999997,6.3932,15.0087060295,53.6178
BDI,2006,2.23912305,20.978706000000003,99.55,15.4,2.2412,7.8894,14.958911629,54.4902
BDI,2007,2.3610220999999996,21.131495,99.6,16.0,2.2994,8.6728,14.8770569255,55.3746
BDI,2008,2.4844600999999997,21.2821115,99.6,16.6,2.3588,9.3902,14.728737394,56.3858
BDI,2009,2.6086772,21.4364,99.65,17.2,2.3024,10.1082,14.526501689499998,57.087599999999995
BDI,2010,2.73457345,21.5932735,99.65,17.9,2.246,10.582,14.244366036,57.8054
BDI,2011,2.864034,21.7530905,99.7,18.55,2.1908000000000003,10.7654,12.426278387,58.503
BDI,2012,2.9978537999999997,21.916148,99.7,19.25,2.1338,10.9482,11.350101956,59.2376
BDI,2013,3.1386807,22.076744,99.8,19.95,2.0756,11.0656,10.2317525975,59.9902
BDI,2014,3.29009745,22.2363205,99.75,20.700000000000003,2.0170000000000003,11.1986,10.7429618275,60.6326
BDI,2015,3.4535811,22.391028499999997,99.8,21.45,2.2838000000000003,11.2238,10.428710648,60.98720000000001
BDI,2016,3.6319571,22.543332,99.85,22.2,2.552,11.1868,10.436220462,61.5718
BDI,2017,3.8264826,22.697337,99.85,23.05,2.8213999999999997,10.5486,10.385902474,62.3424
BDI,2018,4.03842755,22.8537065,99.85,23.85,2.9798,10.311,10.359900017,62.479200000000006
BDI,2019,4.26843315,23.0201805,99.85,24.700000000000003,3.1475999999999997,10.1698,10.359900017,63.1506
BDI,2020,4.51888815,23.1994925,99.9,34.85,3.3244,10.0298,10.4833136185,62.3554
BDI,2021,4.7890393,23.3910985,99.85,34.85,3.3244,10.0298,11.3269366655,62.4538
BDI,2022,5.0797982,23.595914,99.9,34.85,3.3244,10.0298,11.3269366655,62.7718
BEL,2000,14.59264,65.4558625,0.0,47.150000000000006,10.596272727272726,16.816636363636363,14.2811185475,77.68509090909092
BEL,2001,14.9179565,66.497591,0.0,48.5,10.692363636363636,17.175818181818183,14.2811185475,77.9539090909091
BEL,2002,15.2420525,67.5298245,0.0,49.8,10.785454545454543,17.276272727272726,14.243960542,78.07481818181817
BEL,2003,15.5619235,68.547839,0.0,51.099999999999994,10.886,17.404,14.2507381945,78.18518181818182
BEL,2004,15.876094,69.545552,0.0,52.35,10.982909090909091,17.275000000000002,14.1221174595,78.84318181818182
BEL,2005,16.1799745,70.5224695,0.0,53.6,11.082727272727272,17.48090909090909,14.0579353795,78.94472727272728
BEL,2006,16.4703715,71.46947399999999,0.0,54.7,11.117545454545455,17.602090909090908,13.934183078,79.2690909090909
BEL,2007,16.744836499999998,72.3885295,0.0,55.650000000000006,11.178454545454544,17.622818181818182,14.0901363575,79.43027272727274
BEL,2008,16.997811,73.27694,0.0,56.5,11.229090909090909,17.638545454545454,14.102827011,79.39927272727273
BEL,2009,17.226297000000002,74.14229499999999,0.0,57.2,11.373,17.650272727272725,14.256838994,79.74245454545455
BEL,2010,17.430685,74.97997000000001,0.0,57.849999999999994,11.454545454545457,17.66781818181818,14.101714458,79.9099090909091
BEL,2011,17.6145755,75.78232,0.0,58.400000000000006,11.533909090909091,17.599727272727275,14.0726258965,80.23936363636363
BEL,2012,17.7856305,76.53812149999999,0.0,58.85,11.562727272727273,17.647727272727273,14.0766839795,80.14154545454545
BEL,2013,17.957363,77.2358445,0.0,59.150000000000006,11.572,17.704454545454546,14.223282471,80.35118181818181
BEL,2014,18.138265500000003,77.874494,0.0,59.45,11.691454545454546,17.81581818181818,14.309330609,80.94
BEL,2015,18.332842,78.456047,0.0,59.6,11.96290909090909,17.832545454545457,13.9309476945,80.77245454545454
BEL,2016,18.545504,78.98452900000001,0.0,59.8,12.035454545454543,17.794818181818183,13.410469418000002,81.11218181818182
BEL,2017,18.7688495,79.46045699999999,0.0,59.9,12.30418181818182,17.758363636363637,12.933018737,81.20754545454545
BEL,2018,18.9981275,79.890537,0.0,59.95,12.369454545454545,17.810636363636362,12.799710019,81.37427272727273
BEL,2019,19.235861999999997,80.282146,0.0,60.1,12.428272727272727,17.81236363636364,12.799710019,81.685
BEL,2020,19.4863675,80.640891,0.0,34.85,12.602454545454547,17.730999999999998,11.846863549,80.68736363636364
BEL,2021,19.750039,80.9709995,0.0,34.85,12.575727272727272,17.599090909090908,11.3269366655,81.72645454545454
BEL,2022,20.0260915,81.27292399999999,0.0,34.85,12.553454545454544,17.599090909090908,11.3269366655,82.13154545454546
BEN,2000,4.3749472,12.1526526,99.3,11.95,2.101,6.442333333333333,6.7348681005,56.81549999999999
BEN,2001,4.7104261,12.15346005,99.05,12.45,2.163666666666667,7.019000000000001,6.7348681005,56.94433333333333
BEN,2002,5.05405545,12.15256505,98.7,13.0,2.2390000000000003,7.483333333333333,6.8477444365,56.8475
BEN,2003,5.4024920000000005,12.1508928,98.3,13.65,2.2488333333333332,7.891833333333333,6.7825163315,56.93866666666667
BEN,2004,5.749614149999999,12.148173,97.9,14.25,2.2591666666666668,8.286166666666666,6.743924561,56.98616666666667
BEN,2005,6.090859549999999,12.14099365,97.35,14.9,2.2689999999999997,8.675166666666668,6.468820210500001,57.24583333333334
BEN,2006,6.42184955,12.1252865,96.85,15.6,2.279333333333333,9.064,6.275759756999999,57.53783333333333
BEN,2007,6.737877200000001,12.1034836,96.3,16.25,2.266833333333333,9.433333333333334,6.5339440845,57.725833333333334
BEN,2008,7.03391375,12.0789093,95.8,16.9,2.255833333333334,9.8015,6.7627421640000005,57.88999999999999
BEN,2009,7.30759735,12.05140145,95.4,17.55,2.246,10.169666666666666,10.5159321735,57.94866666666667
BEN,2010,7.5592576,12.0239006,95.05,18.25,2.2371666666666665,10.537166666666666,13.96618778,58.328
BEN,2011,7.792494550000001,11.9975645,94.85,18.95,2.2296666666666662,10.9045,17.47143202,58.401
